#full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,rot_per
"   433 Eros (1898 DQ)",1.458112258549551,.2227357205256897,10.82856732664407,304.3062624764607,178.8213598069167,1.133338574034176,1.782885943064926,1.76073762203287,45762,0,8146,68,2,11.16,5.270
"   719 Albert (1911 MT)",2.63878019672386,.5463009399241912,11.56484500671441,183.8872856319045,156.1636690665493,1.197212095000273,4.080348298447447,4.28660066021489,39195,0,1821,,,15.4,5.801
"   887 Alinda (1918 DB)",2.47648767308013,.5691156372996339,9.38453647522725,110.4284798615342,350.4143247307184,1.067079812750444,3.885895533409815,3.89728762195063,37068,0,1204,,,13.4,73.97
"  1036 Ganymed (1924 TD)",2.664145333290644,.5332347320319782,26.68761298262197,215.5575045686095,132.3963554918771,1.243530510399162,4.084760156182127,4.34855603928524,34587,0,6086,0,1,9.45,10.297
"  1221 Amor (1932 EA1)",1.91941566321919,.4353210351202446,11.87652956555689,171.3372302802219,26.6748196824311,1.083853649880602,2.754977676557778,2.65926583515635,31628,0,467,,,17.7,
"  1566 Icarus (1949 MA)",1.078094607766809,.8269277652104298,22.82649676142396,88.00472358248152,31.38082179950884,.1865882430807868,1.969600972452831,1.11942116284759,25567,0,989,10,13,16.9,2.2726
"  1580 Betulia (1950 KA)",2.196729768306549,.4875957095290629,52.098230224,62.29224456812244,159.5055235075437,1.125613758285503,3.267845778327594,3.25591572458412,24893,0,1192,5,6,14.7,6.1324
"  1620 Geographos (1951 RA)",1.245302339624524,.335440497910206,13.3373470741356,337.19539679791,276.9150416742435,.8275775027721293,1.663027176476919,1.38969792262223,24781,0,4097,3,4,15.60,5.22204
"  1627 Ivar (1929 SH)",1.863481492948496,.39661326071331,8.450367977914761,133.1221719628294,167.7698132923314,1.124400021751286,2.602562964145706,2.54387535660425,32682,0,6617,3,1,13.2,4.795
"  1685 Toro (1948 OA)",1.367431915065248,.4360613823215999,9.383416691130156,274.2458433183416,127.220597950187,.7711476639512233,1.963716166179273,1.59906740221288,25900,0,2605,7,2,14.23,10.1995
"  1862 Apollo (1932 HA)",1.47004510545699,.5598233975579915,6.355123008466338,35.6305446544467,285.9707515414394,.6470794599565618,2.293010750957418,1.78239597555096,32277,0,1681,8,9,16.25,3.065
"  1863 Antinous (1948 EA)",2.258732646917894,.6065678069690188,18.40010594166234,346.4438824006211,268.0619556812504,.88865813874758,3.628807155088208,3.39473162171862,26010,0,993,,,15.54,7.453
"  1864 Daedalus (1971 FA)",1.461087899071969,.6143760892231848,22.20872521889855,6.633244413984842,325.6260400554599,.5634304296288135,2.358745368515125,1.76613020512766,17525,0,2216,1,0,14.85,8.572
"  1865 Cerberus (1971 UA)",1.080048255056685,.4668655900822247,16.09631051844368,212.9252348987803,325.2556218489519,.5758108891423683,1.584285620971001,1.12246534547411,17439,0,1495,,,16.84,6.8039
"  1866 Sisyphus (1972 XA)",1.893971557834832,.5380638718608152,41.20139074644467,63.49506404259149,293.0598926459696,.8748938882319626,2.913049227437702,2.60656393219889,23530,0,3855,0,1,12.4,2.400
"  1915 Quetzalcoatl (1953 EA)",2.543337485245394,.5704927517813837,20.40373088494313,162.9369147385637,347.8537799008055,1.092381884579005,3.994293085911782,4.05615171250558,18842,0,51,0,1,18.97,4.9
