#,,,,,TABLE I,,,,,
#,,,,,SMASS Observational Results for Near-Earth and Mars-Crossing Objects,,,,,
#,,,,,,,,,,
#,,Provisional,,,,,,H,,
#Number,Name,Desgination,Orbit,Type,Slope,PC2',PC3',Mag,T,Reference
#====================================================================,,,,,,,,,,
132,Aethra,1953 LF,MC,Xe,0.1605,0.2078,0.0063,9.4,3.18,[2]
391,Ingeborg,1934 AJ,MC,S,0.5312,-0.1769,0.0150,10.1,3.41,[2]
433,Eros,1898 DQ,AMO,S,0.6271,-0.2581,-0.0048,11.2,4.58,*
512,Taurinensis,1903 LV,MC,S,0.4488,-0.2840,-0.0001,10.7,3.62,[2]
699,Hela,1957 WX1,MC,Sq,0.2152,-0.0519,0.0129,11.7,3.24,[2]
719,Albert,1911 MT,AMO,S,0.4553,-0.1187,-0.0205,15.8,3.14,*
985,Rosina,1922 MO,MC,S,0.5062,-0.2221,-0.0030,12.7,3.54,[2]
1011,Laodamia        ,1924 PK,MC,S,0.5650,-0.2118,-0.0421,12.7,3.44,*
1036,Ganymed,1924 TD,AMO,S,0.4298,-0.2054,0.0474,9.5,3.03,*
1065,Amundsenia,1955 SM1,MC,S,0.5563,-0.2377,0.0291,13.2,3.48,[2]
1131,Porzia,1929 RO,MC,S,0.5324,-0.2669,-0.0055,13.0,3.59,[2]
1134,Kepler,1951 SA,MC,S,0.5075,-0.1024,0.0042,14.3,3.17,[2]
1139,Atami,1929 XE,MC,S,0.4885,-0.1872,-0.0021,12.5,3.82,[2]
1198,Atlantis,1931 RA,MC,L,0.7604,0.0984,0.0827,14.6,3.55,[1]
1204,Renzia,1931 TE,MC,S,0.4704,-0.1047,-0.0037,12.2,3.56,[2]
1293,Sonja,1933 SO,MC,Sq,0.2298,-0.2789,0.0069,12.0,3.59,[2]
1316,Kasan,1978 WK14,MC,Sr,0.2799,-0.3933,-0.0305,13.3,3.34,[2]
1374,Isora,1935 UA,MC,Sq,0.2313,-0.1748,-0.0445,13.5,3.57,[2]
1565,Lemaitre,1948 WA,MC,Sq,0.1831,-0.2210,-0.0269,12.3,3.36,[2]
1593,Fagnes,1951 LB,MC,S,0.5191,-0.3458,-0.0317,13.2,3.57,[2]
1620,Geographos,1951 RA,APO,S,0.3892,-0.1177,0.0190,16.5,5.07,*
1627,Ivar,1929 SH,AMO,S,0.5616,-0.3029,-0.0515,13.2,3.88,*
1640,Nemo,1951 QA,MC,S,0.4981,-0.0457,0.0028,13.1,3.51,[2]
1660,Wood,1953 GA,MC,S,0.4426,-0.1498,0.0310,11.9,3.38,[2]
1685,Toro,1948 OA,APO,S,0.3031,-0.2011,-0.0146,14.0,4.71,[6]
1862,Apollo,1932 HA,APO,Q,0.0658,-0.3680,-0.0251,16.3,4.41,*
1863,Antinous,1948 EA,APO,Sq,0.1776,-0.1793,0.0521,15.8,3.30,[3]
1864,Daedalus,1971 FA,APO,Sr,0.2560,-0.3072,-0.0780,15.0,4.33,*
1865,Cerberus,1971 UA,APO,S,0.3085,-0.1508,-0.0047,17.0,5.59,*
1866,Sisyphus,1972 XA,APO,S,0.6488,-0.1553,-0.0302,13.0,3.51,*
1916,Boreas,1953 RA,AMO,S,0.5044,-0.1420,-0.0168,15.0,3.44,*
1917,Cuyo,1968 AA,AMO,Sl,0.7233,-0.2161,0.0105,13.9,3.43,*
1943,Anteros,1973 EC,AMO,L,0.6400,-0.0160,-0.0690,16.0,4.64,[6]
1951,Lick,1949 OA,MC,A,1.1774,-0.5920,-0.0676,14.7,4.54,[2]
1980,Tezcatlipoca,1950 LA,AMO,Sl,0.6492,-0.2832,-0.0045,14.0,3.99,*
1981,Midas,1973 EA,APO,V,-0.3096,-0.7383,0.0470,15.2,3.61,[3]
2035,Stearns,1973 SC,MC,Xe,0.4441,0.1200,0.0128,12.6,3.82,[2]
2062,Aten,1976 AA,ATE,Sr,0.3008,-0.3810,-0.0785,17.1,6.18,*
2063,Bacchus,1977 HB,APO,Sq,0.2484,-0.2110,-0.0685,17.1,5.67,[5]
2064,Thomsen,1942 RQ,MC,S,0.4810,-0.1581,-0.0701,13.1,3.60,[2]
2074,Shoemaker,1974 UA,MC,Sa,0.8070,-0.1836,0.0649,14.0,3.90,[1]
2078,Nanking         ,1975 AD,MC,Sq,0.2431,-0.1220,0.0117,12.1,3.37,*
2099,Opik,1977 VB,MC,Ch,-0.0292,0.3217,-0.0673,15.2,3.36,[2]
2100,Ra-Shalom,1978 RA,ATE,C,0.0765,0.1810,0.0803,16.1,6.94,*
2102,Tantalus,1975 YA,APO,Q,-0.0186,-0.3202,-0.0192,16.2,4.45,*
2201,Oljato,1947 XC,APO,Sq,-0.0055,-0.1095,0.0441,16.9,3.30,*
2204,Lyyli,1943 EQ,MC,X,0.3596,0.3154,0.0434,12.7,3.22,[1]
2253,Espinette,1932 PB,MC,Sl,0.7030,-0.0634,0.0603,12.9,3.55,[1]
2335,James           ,1974 UB,MC,Sa,0.6903,-0.3627,-0.0020,13.8,3.41,*
2340,Hathor,1976 UA,ATE,Sq,0.0888,-0.0527,0.0287,19.2,6.88,*
2423,Ibarruri        ,1972 NC,MC,A,0.8595,-0.3971,-0.0363,13.2,3.62,*
2629,Rudra,1980 RB1,MC,B,-0.2512,0.3722,0.1447,14.5,4.02,[2]
2744,Birgitta,1975 RB,MC,S,0.3820,-0.2635,-0.0435,14.8,3.51,[2]
3040,Kozai,1979 BA,MC,S,0.5770,-0.3017,-0.0152,14.5,3.63,[2]
3102,Krok,1981 QA,AMO,S,0.3911,-0.3109,-0.0513,15.6,3.55,*
3103,Eger,1982 BB,APO,Xe,0.5988,0.0946,-0.0371,15.4,4.61,*
3122,Florence,1981 ET3,AMO,S,0.3136,-0.2703,0.0243,14.2,3.92,*
3198,Wallonia,1981 YH1,MC,S,0.4586,-0.0100,0.0954,12.3,3.58,[2]
3199,Nefertiti,1982 RA,AMO,Sq,0.1479,-0.0205,-0.0353,15.1,4.19,*
3200,Phaethon,1983 TB,APO,B,-0.1941,0.3243,0.0460,14.3,4.51,*
3216,Harrington,1980 RB,MC,S,0.4936,-0.1840,0.0571,14.0,3.46,[2]
3255,Tholen,1980 RA,MC,S,0.3313,-0.2011,0.0300,13.6,3.36,[2]
3287,Olmstead,1981 DK1,MC,L,0.6200,0.0130,-0.0081,15.0,3.46,[2]
3288,Seleucus,1982 DV,AMO,K,0.4974,-0.0240,-0.0790,15.3,3.66,*
3352,McAuliffe,1981 CW,AMO,A,0.8718,-0.3484,-0.0783,15.8,3.88,*
3401,Vanphilos,1981 PA,MC,S,0.4994,-0.1016,0.0296,12.6,3.37,[2]
3416,Dorrit,1931 VP,MC,Sa,0.8073,-0.3391,-0.0620,13.7,3.81,[2]
3443,Leetsungdao,1979 SB1,MC,T,0.5491,0.1168,-0.0111,13.3,3.43,[2]
3552,Don Quixote,1983 SA,AMO,D,1.1147,0.4581,0.0703,13.0,2.31,*
3581,Alvarez,1985 HC,MC,B,-0.3237,0.3113,0.0375,12.1,3.04,[2]
3635,,1981 WO1,MC,S,0.4567,-0.2039,0.0788,14.8,4.00,[2]
3671,Dionysus,1984 KD,AMO,Cb,-0.0630,0.2376,0.0444,16.7,3.43,*
3674,Erbisbuhl       ,1963 RH,MC,Sk,0.2658,-0.1008,0.0235,12.1,3.37,*
3691,Bede,1982 FT,AMO,Xc,0.2058,0.0798,-0.0490,14.9,3.98,*
3737,Beckman,1983 PA,MC,S,0.5326,-0.1470,0.0071,13.0,3.33,[2]
3753,Cruithne,1986 TO,ATE,Q,0.0130,-0.2254,0.0731,15.1,5.92,*
3800,Karayusuf,1984 AB,MC,S,0.5372,-0.3416,-0.0440,15.4,4.36,[2]
3833,Calingasta,1971 SC,MC,Cb,-0.0195,0.2452,0.0406,15.0,3.54,[2]
3858,Dorchester,1986 TG,MC,Sa,0.6807,-0.5277,-0.1248,13.7,3.62,[2]
3873,Roddy,1984 WB,MC,S,0.4203,-0.0952,0.0663,12.0,3.85,[2]
3908,Nyx,1980 PA,AMO,V,-0.5268,-0.9300,0.0429,17.4,3.78,*
3920,Aubignan,1948 WF,MC,Sa,0.6048,-0.3837,-0.0658,13.2,3.56,[2]
4034,,1986 PA,APO,O,-0.1440,-0.3152,-0.0801,18.1,5.70,*
4055,Magellan,1985 DO2,AMO,V,-0.2210,-1.1119,0.0336,14.8,3.88,*
4142,Dersu-Uzala     ,1981 KE,MC,A,1.0608,-0.2850,-0.0009,13.6,3.79,[6]
4179,Toutatis,1989 AC,APO,Sk,0.2733,-0.0239,0.0074,15.3,3.15,*
4183,Cuno,1959 LM,APO,Sq,0.0019,-0.1273,-0.0165,14.4,3.57,*
4197,,1982 TA,APO,Sq,0.1727,-0.0500,-0.0245,14.9,3.09,*
4205,David Hughes,1985 YP,MC,Xe,0.2392,0.1707,0.0168,14.7,4.10,[2]
4222,Nancita,1988 EK1,MC,S,0.3205,-0.2770,-0.0435,12.4,3.48,[2]
4276,Clifford,1981 XA,MC,Cb,0.0977,0.3230,0.1000,14.3,3.72,[2]
4341,Poseidon,1987 KF,APO,O,-0.1709,-0.1810,-0.0576,15.5,3.69,*
4435,Holt,1983 AG2,MC,S,0.4085,-0.2522,0.0096,13.2,3.41,[2]
4451,Grieve          ,1988 JJ,MC,S,0.5270,-0.1972,0.0169,12.2,3.15,*
4503,Cleobulus,1989 WM,AMO,Sq,0.1184,-0.1224,0.0049,15.6,3.15,*
4558,Janesick,1988 NF,MC,S,0.3118,-0.2297,0.0299,12.2,3.49,[2]
4660,Nereus,1982 DB,APO,Xe,0.2958,0.2634,0.0409,18.3,4.49,[6]
4688,,1980 WF,AMO,V,0.0852,-0.4530,-0.0582,19.0,3.44,*
4910,Kawasato,1953 PR,MC,S,0.5497,-0.2466,-0.0053,14.2,3.42,[2]
4947,Ninkasi,1988 TJ1,AMO,Sq,0.1981,-0.2952,-0.0278,18.7,4.77,*
4954,Eric,1990 SQ,AMO,S,0.5589,-0.2375,0.0544,12.6,3.66,*
4957,Brucemurray,1990 XJ,AMO,S,0.6394,-0.0886,-0.0466,15.1,4.20,*
4995,,1984 QR,MC,S,0.3525,-0.1473,0.0105,13.0,3.41,[2]
5038,Overbeek,1948 KF,MC,S,0.4931,-0.1058,-0.0213,14.1,3.51,[2]
5131,,1990 BG,APO,S,0.5089,-0.1387,0.0031,14.1,4.21,*
5143,Heracles,1991 VL,APO,O,-0.1949,-0.1147,-0.0371,14.0,3.58,*
5230,Asahina,1988 EF,MC,S,0.4305,-0.2170,-0.0127,13.4,3.35,[2]
5253,,1985 XB,MC,S,0.6193,-0.2635,-0.0329,13.7,3.69,[2]
5275,Zdislava        ,1986 UU,MC,Sa,0.6226,-0.4940,-0.0639,13.6,3.62,*
5349,Paulharris,1988 RA,MC,C,-0.0416,0.2833,0.0030,12.7,3.00,[2]
5392,Parker,1986 AK,MC,Sl,0.6551,-0.2174,-0.0876,12.7,3.38,[2]
5407,,1992 AX,MC,Sk,0.2271,-0.0085,0.0099,13.7,3.95,[2]
5510,,1988 RF7,MC,S,0.6165,-0.2987,-0.0099,13.9,3.63,[2]
5585,Parks,1990 MJ,MC,Ch,-0.0644,0.3847,0.0111,13.7,3.08,[2]
5587,,1990 SB,AMO,Sq,0.2478,-0.0442,0.3496,13.6,3.25,*
5604,,1992 FE,ATE,V,-0.1308,-1.2293,0.0065,16.4,6.38,*
5626,,1991 FE,AMO,S,0.5842,-0.2294,0.0263,14.7,3.52,*
5641,McCleese        ,1990 DJ,MC,A,0.8533,-0.3894,-0.0773,12.7,3.94,*
5646,,1990 TR,AMO,U,-0.1015,-0.6302,-0.0859,16.1,3.57,*
5649,Donnashirley,1990 WZ2,MC,S,0.3343,-0.2600,0.0041,13.2,3.44,[2]
5660,,1974 MA,APO,Q,0.1450,-0.3748,-0.1204,15.7,3.51,*
5732,,1988 WC,MC,S,0.4511,-0.1602,0.0177,14.1,3.45,[2]
5751,Zao,1992 AC,AMO,X,0.2418,0.1032,0.0272,14.9,3.58,*
5817,Robertfrazer,1989 RZ,MC,S,0.5106,-0.3254,0.0172,12.6,3.35,[2]
5828,,1991 AM,APO,Q,-0.0250,-0.1546,-0.0113,16.3,3.77,*
5836,,1993 MF,AMO,S,0.4099,-0.1464,0.0222,15.0,3.28,*
6047,,1991 TB1,APO,S,0.5319,-0.1278,-0.0136,17.0,4.48,*
6053,,1993 BW3,AMO,Sq,0.2602,-0.2218,0.0279,15.2,3.44,*
6249,Jennifer,1991 JF1,MC,Xe,0.4044,0.1247,0.0499,12.4,3.78,[2]
6386,,1989 NK1,MC,S,0.5220,-0.1874,0.0601,12.7,3.54,[2]
6455,,1992 HE,APO,S,0.4823,-0.3305,0.1027,13.8,3.18,*
6489,Golevka,1991 JX,APO,Q,0.2310,-0.3507,-0.0482,19.1,3.18,*
6500,Kodaira,1993 ET,MC,B,-0.2539,0.3066,0.0620,12.5,3.04,[2]
6569,,1993 MO,AMO,Sr,0.4724,-0.4910,-0.1319,16.2,4.21,*
6585,O'Keefe,1984 SR,MC,Sk,0.2748,-0.1441,-0.0192,14.3,3.36,[2]
6611,,1993 VW,APO,V,-0.1473,-0.7528,0.1062,16.5,4.05,*
6847,Kunz-Hallstei,1977 RL,MC,Sk,0.2590,-0.0811,-0.0009,13.7,3.40,[2]
7304,Namiki,1994 AE2,MC,Ld,0.8737,0.0157,0.1074,13.3,3.25,[2]
7336,Saunders,1989 RS1,AMO,Sq,-0.0671,-0.1819,0.0018,18.7,3.41,*
7341,,1991 VK,APO,Sq,0.0632,-0.2138,-0.0211,16.7,3.84,*
7358,,1995 YA3,AMO,Sq,0.1666,-0.1383,0.0000,14.4,3.49,*
7474,,1992 TC,AMO,X,0.3486,0.3191,0.0702,18.0,4.36,[1]
7480,Norwan,1994 PC,AMO,S,0.3011,-0.2670,0.0060,17.5,4.34,*
7482,,1994 PC1,APO,S,0.4594,-0.2495,-0.0101,16.8,4.66,*
7604,,1995 QY2,MC,C,-0.0702,0.1381,0.0179,13.7,2.86,[2]
7753,,1988 XB,APO,B,-0.2817,0.3549,0.1009,18.6,4.47,[5]
7822,,1991 CS,APO,S,0.4548,-0.1713,-0.0176,17.4,5.36,*
7888,,1993 UC,APO,U,1.0453,-0.7483,-0.2914,15.3,3.05,*
7889,,1994 LX,APO,V,-0.4210,-1.2968,0.1178,15.3,4.86,*
7977,,1977 QQ5,AMO,S,0.3087,-0.1537,0.0584,15.4,3.38,*
8176,,1991 WA,APO,Q,0.0078,-0.2064,-0.0218,17.1,3.95,*
8201,,1994 AH2,APO,O,-0.1989,-0.2479,0.0195,16.3,3.02,[3]
8566,,1996 EN,APO,U,-0.2108,-1.6055,0.1226,16.5,4.22,*
9400,,1994 TW1,AMO,Sr,0.4645,-0.4771,-0.0901,14.8,2.94,*
9969,Braille,1992 KD,MC,Q,0.0863,-0.2935,-0.0896,15.8,3.28,[3]
10115,,1992 SK,APO,S:,,,,17.0,5.06,*
10165,,1995 BL2,APO,L,0.6313,-0.0295,-0.0181,17.1,4.98,*
10302,,1989 ML,AMO,X,0.1365,0.2478,0.0443,19.5,5.06,[3]
10563,Izhdubar,1993 WD,APO,Q,0.0549,-0.1667,-0.0073,17.3,5.54,*
11066,Sigurd,1992 CC1,APO,K,0.4980,0.0917,0.0992,15.0,4.50,[1]
11311,Peleus,1993 XN2,APO,Sq,0.2460,-0.1192,0.0050,16.5,3.43,*
11398,,1998 YP11,AMO,Sr,0.2792,-0.3033,-0.0382,16.3,4.05,*
11405,,1999 CV3,APO,Sq,0.2284,-0.2422,-0.0182,15.0,4.46,*
11500,,1989 UR,APO,S,0.3906,-0.1247,-0.0103,18.4,5.65,*
12538,,1998 OH,APO,S:,,,,16.1,4.28,*
12711,,1991 BB,APO,Sr,0.3301,-0.3537,-0.0808,16.0,5.10,*
12923,,1999 GK4,APO,S:,,,,16.1,3.72,*
13651,,1997 BR,APO,S,0.3346,-0.2565,-0.1260,17.6,4.81,*
14402,,1991 DB,AMO,C,0.0077,0.2024,0.0214,18.4,4.06,*
15745,,1991 PM5,AMO,S,0.5345,-0.1150,0.0078,17.8,4.10,*
15817,Lucianotesi,1994 QC,AMO,Xc,0.1489,0.0752,-0.1092,18.6,4.90,*
16064,,1999 RH27,AMO,C,0.1197,0.2540,0.0044,16.9,3.02,[3]
16657,,1993 UB,AMO,Sr,0.2720,-0.2628,0.0622,16.9,3.35,*
16834,,1997 WU22,APO,S,0.5482,-0.0848,-0.0189,15.7,4.46,[3]
16960,,1998 QS52,APO,Sq,-0.0205,-0.0503,-0.0139,14.3,3.00,*
17274,,2000 LC16,AMO,Xk,0.3726,0.2333,0.0021,16.7,3.10,*
17511,,1992 QN,APO,X,0.1482,0.2297,0.0308,17.1,5.25,*
18514,,1996 TE11,MC,Xc,0.1238,0.1468,-0.0007,15.8,3.15,[2]
18736,,1998 NU,AMO,Sk,0.2540,-0.0260,0.0737,16.1,3.38,*
18882,,1999 YN4,AMO,S,0.3034,-0.1712,0.0164,16.3,3.97,[3]
19356,,1997 GH3,AMO,S,0.3065,-0.2516,-0.0467,17.1,3.22,*
20043,,1993 EM,MC,U,-0.1013,0.0583,0.0576,15.4,3.81,[3]
20255,,1998 FX2,AMO,Sq,0.2655,-0.1376,0.0101,18.2,3.52,*
20425,,1998 VD35,APO,Sq,0.1093,-0.3739,-0.0595,20.4,4.28,*
20790,,2000 SE45,AMO,S,0.3174,-0.0482,-0.0092,16.6,3.09,*
20826,,2000 UV13,APO,Sq,0.2232,-0.1018,0.0049,13.5,3.04,*
22099,,2000 EX106,APO,S:,,,,18.0,5.58,*
22449,,1996 VC,MC,S,0.3817,-0.1729,-0.0513,13.8,3.39,[2]
22771,,1999 CU3,APO,Sl,0.6226,-0.0570,-0.0364,17.0,4.22,*
23548,,1994 EF2,AMO,Q,0.1469,-0.3157,0.0033,17.6,3.31,*
24475,,2000 VN2,AMO,Sa,0.7374,-0.2446,-0.0034,16.5,3.70,*
25143,Itokawa,1998 SF36,APO,S(IV),0.4644,-0.3073,-0.2203,19.2,4.90,[4]
25330,,1999 KV4,APO,B,-0.0545,0.2652,0.0129,16.8,4.35,*
26209,,1997 RD1,MC,Sq,0.2589,-0.1600,-0.0158,16.0,3.23,[2]
31345,,1998 PG,AMO,Sq,0.1485,-0.2232,-0.0576,17.6,3.72,*
31346,,1998 PB1,AMO,Sq:,,,,17.1,3.68,*
32906,,1994 RH,AMO,S,0.2340,-0.0092,0.0012,16.0,3.43,*
35107,,1991 VH,APO,Sk,0.3109,-0.1960,-0.1196,16.9,5.47,*
35396,,1997 XF11,APO,Xk,0.2616,0.0356,-0.0273,16.9,4.53,[5]
35432,,1998 BG9,AMO,S,0.3359,-0.1532,0.0295,19.5,3.21,[3]
