ILDIALCT,ilab_v1,FITS/CSV file dialect
COMMENT,Below this line are measurement parameters
MEASID,1229379208,Unique measurement (observation) ID
OPTICID,RGBL-L1-012,Optic Identifier
MEASTSEC,1229379208,[s] Unix epoch of measurement (date +%s)
MEASTFRC,0,[ns] Fraction of epoch second
MEASDATE,2008-12-15,UTC measurement date (date -u +%F)
MEASTIME,22:13:28 UTC,UTC measurement time (date -u +%T)
OBSERVER,jrt,Observer(s) initials
INSTRMNT,Cary 5000,Measuring instrument
INSTSWV,3.00(339),Instrument software version
INSTHWV,1.12,Instrument hardware version
SRC_UV,True,UV source on
SRC_VIS,True,Visible source on
SRC_LINE,False,Third/Line lamp source on
MEASSTRT,1300.0,[nm] Measurement start wavelength
MEASSTOP,200.0,[nm] Measurement end wavelength
MEASINVL,0.2,[nm] Measurement sampling interval
MEASSBW,0.2,[nm] Spectral bandwidth of measurement
MEASSLHT,Reduced,Slit height
EXPTIME,0.1,[s] Measurement integration time
SCANRATE,120.0,[nm/s] UV-Vis scan rate
MEASBSLN,Baseline+Zero,"Baseline (Baseline, Zero, Baseline+Zero)"
SRCCHWAV,350.0,[nm] Source change wavelength
DETCHWAV,800.0,[nm] Detector change wavelength
GRACHWAV,800.0,[nm] Grating change wavelength
REFBEAM,RFND-14-001,Reference beam sample
SAMPLBM,front,"Sample beam position (front, rear)"
MEASTYPE,Ts,"Measurement type (T, R1, R2)"
WAVEUNIT,nm,Wavelength units
MEASUNIT,ul,Measurement units
SNMODE,False,Cary 5000 Signal-to-noise mode
SRCAOI,0.0,[rad] Source angle of incidence from normal
SRCPOLRZ,-1.0,[rad] Source polarization angle from vertical
SAMPLORN,normal,Optic orientation during measurement
SAMPLPOS,center,Optic position sampled
SAMPLT,295.0,[K] Sample chamber temperature
SAMPLP,101200.0,[Pa] Sample chamber pressure
SAMPLDP,9.0,[K] Sample chamber dewpoint temperature
SAMPLGAS,air,Sample chamber fill gas
INSTT,295.0,[K] Instrument temperature
INSTP,101200.0,[Pa] Instrument pressure
INSTDP,9.0,[K] Instrument dewpoint
INSTGAS,air,Instrument fill gas
LAB,iLab,Laboratory of measurement
LABT,295.0,[K] Lab temperature
LABP,101200.0,[Pa] Lab pressure
LABDP,9.0,[K] Lab dewpoint temperature
LABFILTS,True,"Cleanroom fan filter units on (T, F)"
LABLITES,unknown,"Lab lights on (T, F)"
COMMENT,Below this line are calculated parameters
LAMPEAK,636.400,[nm] Wavelength of peak signal
TPEAK,9.919384e-01,[ul] Peak transmission
LFWHM,1100.000,[nm] Full width half maximum
LBLUE,200.000,[nm] Blue cut-on wavelength
LRED,1300.000,[nm] Red cut-off wavelength
LCENTER,750.000,[nm] Band center (Red+Blue)/2
LAVG,772.779,[nm] Flux integrated band center
TAVG,8.890708e-01,[ul] Average transmission in bandpass
TBLULEAK,8.332605e-03,[ul] Fraction of light leaking blue of bandpass
TREDLEAK,1.129743e-04,[ul] Fraction of light leaking red of bandpass
COMMENT,Below END are measured values
COMMENT,"Data format is \lambda [nm], T_{meas} [0..1], T_{filt) [0..1]"
END
200.000,2.424217e-05,1.216923e-05
200.200,2.203669e-05,1.610311e-05
200.400,2.713840e-05,1.966570e-05
200.600,2.834410e-05,2.256971e-05
200.800,1.857225e-05,2.471172e-05
201.000,3.308742e-05,2.617148e-05
201.200,2.263608e-05,2.715212e-05
201.400,2.173593e-05,2.788426e-05
201.600,2.865265e-05,2.854239e-05
201.800,3.223598e-05,2.920019e-05
202.000,3.601439e-05,2.984664e-05
202.200,2.820233e-05,3.042064e-05
202.400,2.888652e-05,3.086722e-05
202.600,3.329295e-05,3.117932e-05
202.800,3.087699e-05,3.139956e-05
203.000,3.096434e-05,3.159798e-05
203.200,3.138166e-05,3.183002e-05
203.400,3.144074e-05,3.212043e-05
203.600,3.253762e-05,3.243816e-05
203.800,3.130502e-05,3.272077e-05
204.000,3.521747e-05,3.289912e-05
204.200,3.696271e-05,3.293448e-05
204.400,3.641635e-05,3.284518e-05
204.600,2.399397e-05,3.269577e-05
204.800,3.219731e-05,3.258842e-05
205.000,3.551710e-05,3.261538e-05
205.200,3.092948e-05,3.283161e-05
205.400,3.250331e-05,3.323798e-05
205.600,3.215577e-05,3.377710e-05
205.800,3.872634e-05,3.436088e-05
206.000,3.789849e-05,3.490012e-05
206.200,3.507812e-05,3.532496e-05
206.400,3.244851e-05,3.560538e-05
206.600,3.686224e-05,3.575191e-05
206.800,3.257859e-05,3.581395e-05
207.000,4.270412e-05,3.586962e-05
207.200,3.834883e-05,3.602137e-05
207.400,2.781250e-05,3.637044e-05
207.600,4.028550e-05,3.699473e-05
207.800,3.682106e-05,3.791154e-05
208.000,3.607566e-05,3.905282e-05
208.200,4.070437e-05,4.027645e-05
208.400,4.462332e-05,4.139199e-05
208.600,4.684635e-05,4.221301e-05
208.800,4.735896e-05,4.262482e-05
209.000,4.102094e-05,4.263295e-05
209.200,4.055119e-05,4.236713e-05
209.400,3.963573e-05,4.203740e-05
209.600,4.339500e-05,4.187700e-05
209.800,3.538798e-05,4.206040e-05
210.000,4.412200e-05,4.265868e-05
210.200,4.262622e-05,4.362616e-05
210.400,5.008124e-05,4.483723e-05
210.600,4.859052e-05,4.612592e-05
210.800,4.715443e-05,4.733871e-05
211.000,4.719871e-05,4.837956e-05
211.200,5.109308e-05,4.920119e-05
211.400,5.202382e-05,4.980603e-05
211.600,4.507635e-05,5.021895e-05
211.800,5.148734e-05,5.047771e-05
212.000,5.744252e-05,5.063057e-05
212.200,4.642530e-05,5.074021e-05
212.400,5.221994e-05,5.088049e-05
212.600,5.190338e-05,5.113071e-05
212.800,4.825547e-05,5.155470e-05
213.000,4.883387e-05,5.218575e-05
213.200,5.547779e-05,5.300916e-05
213.400,5.696644e-05,5.397177e-05
213.600,5.669457e-05,5.498813e-05
213.800,5.969901e-05,5.596907e-05
214.000,4.918596e-05,5.683780e-05
214.200,5.926347e-05,5.754414e-05
214.400,6.107874e-05,5.806521e-05
214.600,6.099826e-05,5.840948e-05
214.800,5.823926e-05,5.860682e-05
215.000,5.665680e-05,5.869321e-05
215.200,5.719456e-05,5.871528e-05
215.400,6.045791e-05,5.871008e-05
215.600,5.906093e-05,5.870296e-05
215.800,5.683549e-05,5.871537e-05
216.000,5.885980e-05,5.876940e-05
216.200,6.186130e-05,5.889697e-05
216.400,6.114430e-05,5.914547e-05
216.600,5.709963e-05,5.956604e-05
216.800,5.592258e-05,6.019184e-05
217.000,6.236213e-05,6.101179e-05
217.200,6.148109e-05,6.196478e-05
217.400,6.456719e-05,6.293806e-05
217.600,6.888948e-05,6.380540e-05
217.800,6.251658e-05,6.446559e-05
218.000,6.996258e-05,6.487319e-05
218.200,6.114376e-05,6.504907e-05
218.400,6.429123e-05,6.506812e-05
218.600,6.511852e-05,6.503357e-05
218.800,6.465437e-05,6.503169e-05
219.000,6.289877e-05,6.510962e-05
219.200,6.682248e-05,6.527067e-05
219.400,6.618220e-05,6.549218e-05
219.600,6.938859e-05,6.574248e-05
219.800,6.389918e-05,6.600250e-05
220.000,6.440901e-05,6.626692e-05
220.200,6.826131e-05,6.654526e-05
220.400,6.390500e-05,6.685641e-05
220.600,6.812243e-05,6.720944e-05
220.800,7.230646e-05,6.760504e-05
221.000,7.035915e-05,6.803260e-05
221.200,6.013847e-05,6.847126e-05
221.400,6.985404e-05,6.889633e-05
221.600,7.162685e-05,6.928649e-05
221.800,7.304993e-05,6.963661e-05
222.000,6.954739e-05,6.995994e-05
222.200,7.179731e-05,7.029199e-05
222.400,6.651372e-05,7.066733e-05
222.600,7.116513e-05,7.111352e-05
222.800,7.058493e-05,7.162343e-05
223.000,7.090596e-05,7.215307e-05
223.200,7.792211e-05,7.262624e-05
223.400,7.519067e-05,7.296093e-05
223.600,7.293228e-05,7.309920e-05
223.800,6.811809e-05,7.303034e-05
