# QE curve for Princeton Instruments Pixis (e2v 47-10 AIMO) CCD for 'B' and 'B_eXcelon' coating
# Wavelength(nm) QE_B(0..1.0) QE_B_eXcelon(0..1.0)
250   0.18      0.00
300   0.12      0.03
350   0.22      0.26
400   0.54      0.65
450   0.79      0.86
500   0.94      0.94
550   0.97      0.95
600   0.97      0.955
650   0.945     0.975
700   0.91      0.965
750   0.85      0.92
800   0.75      0.845
850   0.62      0.705
900   0.44      0.52
950   0.28      0.30
1000  0.13      0.13
1050  0.04      0.04
