      1 Ceres             -          G      7G  G0 7I G?  2I CvB    65  -   -   C   s   C   C   C   a  -                     
      2 Pallas            -          B      7G  B3 7I m   2I BCv    65  -   -   B   s   -   -   B   a  -                     
      3 Juno              -          S      7G  S0 7I S   2I Sp     65  -   -   Sk  s   S   Sk  Sq  a  -                     
      4 Vesta             -          V      7G  V0 7I r   2I V      65  -   -   V   s   -   -   V   a  -                     
      5 Astraea           -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
      6 Hebe              -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   -   -  -                     
      7 Iris              -          S      7G  S0 7I S   2I S      65  -   -   S   s   -   -   S   a  -                     
      8 Flora             -          S      7G  S0 7I S   2I -      -   -   -   -   -   -   -   Sw  b  -                     
      9 Metis             -          S      7G  -  -  -   -  S      65  -   -   -   -   T   T   -   -  -                     
     10 Hygiea            -          C      7G  C0 7I C   2I B+F    65  -   -   C   s   -   -   C   a  -                     
     11 Parthenope        -          S      7G  S0 7I S   2I S      65  -   -   Sk  s   -   -   Sq  a  -                     
     12 Victoria          -          S      7G  S0 7I S   2I So     65  -   -   L   s   D   D   -   -  -                     
     13 Egeria            -          G      4G  -  -  G   2I Cv     65  -   -   Ch  s   -   -   Ch  a  -                     
     14 Irene             -          S      7G  -  -  -   -  -      -   -   -   S   s   -   -   S   a  -                     
     15 Eunomia           -          S      7G  S0 7I S   2I S      65  -   -   S   s   -   -   K   a  -                     
     16 Psyche            -          M      7G  M0 7I M   2I M      65  -   -   X   s   -   -   Xk  a  -                     
     17 Thetis            -          S      7G  S0 7I S   2I -      -   -   -   Sl  s   -   -   S   a  -                     
     18 Melpomene         -          S      7G  S0 7I S   2I S,SoT  65  -   -   S   s   -   -   S   a  -                     
     19 Fortuna           -          G      7G  -  -  -   -  Cx     65  -   -   Ch  s   -   -   Ch  a  -                     
     20 Massalia          -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
     21 Lutetia           -          M      7G  M0 7I M   2I M      65A -   -   Xk  s   X   X   Xc  a  -                     
     22 Kalliope          -          M      7G  M0 7I M   2I M      65  -   -   X   s   -   -   X   a  -                     
     23 Thalia            -          S      7G  S0 7I S   2I -      -   -   -   S   s   S   S   -   -  -                     
     24 Themis            -          C      7G  -  -  -   -  -      -   -   -   B   s   B   C   C   a  -                     
     25 Phocaea           -          S      7G  S2 7I S   2I So     65  -   -   S   s   S   Sa  S   a  -                     
     26 Proserpina        -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
     27 Euterpe           -          S      7G  -  -  -   -  S      65  -   -   S   s   S   L   S   a  -                     
     28 Bellona           -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   S   a  -                     
     29 Amphitrite        -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   S   L   S   a  -                     
     30 Urania            -          S      7G  S0 7I S   2I -      -   -   -   Sl  s   -   -   S   a  -                     
     31 Euphrosyne        -          C      2   -  -  -   -  Cx     65  -   -   Cb  s   -   -   -   -  -                     
     32 Pomona            -          S      7   S0 7I S   2I Sp     65  -   -   S   s   -   -   Sw  a  -                     
     33 Polyhymnia        -          S      7G  -  -  -   -  Sp     65  -   -   Sq  s   S   S   S   a  -                     
